,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
44607,nwisny.01.01600983,,,,Copper,,
44608,nwisny.01.01600983,,,,Lead,,
44668,nwisny.01.01601433,,,,Copper,,
44669,nwisny.01.01601433,,,,Lead,,
44674,nwisny.01.01601433,,,,Copper,,
44675,nwisny.01.01601433,,,,Lead,,
44760,nwisny.01.01602001,,,,Copper,,
44761,nwisny.01.01602001,,,,Lead,,
44766,nwisny.01.01602001,,,,Copper,,
44767,nwisny.01.01602001,,,,Lead,,
44881,nwisny.01.01602716,,,,Copper,,
44882,nwisny.01.01602716,,,,Lead,,
44887,nwisny.01.01602716,,,,Copper,,
44888,nwisny.01.01602716,,,,Lead,,
44952,nwisny.01.01700030,,,,Copper,,
44953,nwisny.01.01700030,,,,Lead,,
44958,nwisny.01.01700030,,,,Copper,,
44959,nwisny.01.01700030,,,,Lead,,
45032,nwisny.01.01600870,,,,Copper,,
45033,nwisny.01.01600870,,,,Lead,,
45038,nwisny.01.01600870,,,,Copper,,
45039,nwisny.01.01600870,,,,Lead,,
45092,nwisny.01.01601153,,,,Copper,,
45093,nwisny.01.01601153,,,,Lead,,
45098,nwisny.01.01601153,,,,Copper,,
45099,nwisny.01.01601153,,,,Lead,,
45156,nwisny.01.01601818,,,,Copper,,
45157,nwisny.01.01601818,,,,Lead,,
45171,nwisny.01.01601818,,,,Copper,,
45172,nwisny.01.01601818,,,,Lead,,
45253,nwisny.01.01602471,,,,Copper,,
45254,nwisny.01.01602471,,,,Lead,,
45259,nwisny.01.01602471,,,,Copper,,
45260,nwisny.01.01602471,,,,Lead,,
45377,nwisny.01.01603025,,,,Copper,,
45378,nwisny.01.01603025,,,,Lead,,
45383,nwisny.01.01603025,,,,Copper,,
45384,nwisny.01.01603025,,,,Lead,,
45448,nwisny.01.01700082,,,,Copper,,
45449,nwisny.01.01700082,,,,Lead,,
45454,nwisny.01.01700082,,,,Copper,,
45455,nwisny.01.01700082,,,,Lead,,
62510,nwisny.01.01600868,,,,Copper,,
62511,nwisny.01.01600868,,,,Lead,,
62516,nwisny.01.01600868,,,,Copper,,
62517,nwisny.01.01600868,,,,Lead,,
64422,nwisny.01.01601156,,,,Copper,,
64423,nwisny.01.01601156,,,,Lead,,
64428,nwisny.01.01601156,,,,Copper,,
64429,nwisny.01.01601156,,,,Lead,,
66346,nwisny.01.01601817,,,,Copper,,
66347,nwisny.01.01601817,,,,Lead,,
66361,nwisny.01.01601817,,,,Copper,,
66362,nwisny.01.01601817,,,,Lead,,
69101,nwisny.01.01602694,,,,Copper,,
69102,nwisny.01.01602694,,,,Lead,,
69107,nwisny.01.01602694,,,,Copper,,
69108,nwisny.01.01602694,,,,Lead,,
70466,nwisny.01.01603026,,,,Copper,,
70467,nwisny.01.01603026,,,,Lead,,
70472,nwisny.01.01603026,,,,Copper,,
70473,nwisny.01.01603026,,,,Lead,,
70859,nwisny.01.01700097,,,,Copper,,
70860,nwisny.01.01700097,,,,Lead,,
70865,nwisny.01.01700097,,,,Copper,,
70866,nwisny.01.01700097,,,,Lead,,
86956,nwisny.01.01600867,,,,Copper,,
86957,nwisny.01.01600867,,,,Lead,,
86962,nwisny.01.01600867,,,,Copper,,
86963,nwisny.01.01600867,,,,Lead,,
87017,nwisny.01.01601159,,,,Copper,,
87018,nwisny.01.01601159,,,,Lead,,
87023,nwisny.01.01601159,,,,Copper,,
87024,nwisny.01.01601159,,,,Lead,,
87079,nwisny.01.01601821,,,,Copper,,
87080,nwisny.01.01601821,,,,Lead,,
87094,nwisny.01.01601821,,,,Copper,,
87095,nwisny.01.01601821,,,,Lead,,
87188,nwisny.01.01602691,,,,Copper,,
87189,nwisny.01.01602691,,,,Lead,,
87194,nwisny.01.01602691,,,,Copper,,
87195,nwisny.01.01602691,,,,Lead,,
87287,nwisny.01.01603029,,,,Copper,,
87288,nwisny.01.01603029,,,,Lead,,
87293,nwisny.01.01603029,,,,Copper,,
87294,nwisny.01.01603029,,,,Lead,,
87357,nwisny.01.01700099,,,,Copper,,
87358,nwisny.01.01700099,,,,Lead,,
87363,nwisny.01.01700099,,,,Copper,,
87364,nwisny.01.01700099,,,,Lead,,
87436,nwisny.01.01600866,,,,Copper,,
87437,nwisny.01.01600866,,,,Lead,,
87442,nwisny.01.01600866,,,,Copper,,
87443,nwisny.01.01600866,,,,Lead,,
87496,nwisny.01.01601212,,,,Copper,,
87497,nwisny.01.01601212,,,,Lead,,
87522,nwisny.01.01601212,,,,Copper,,
87523,nwisny.01.01601212,,,,Lead,,
87558,nwisny.01.01601819,,,,Copper,,
87559,nwisny.01.01601819,,,,Lead,,
87573,nwisny.01.01601819,,,,Copper,,
87574,nwisny.01.01601819,,,,Lead,,
87667,nwisny.01.01602693,,,,Copper,,
87668,nwisny.01.01602693,,,,Lead,,
87673,nwisny.01.01602693,,,,Copper,,
87674,nwisny.01.01602693,,,,Lead,,
87778,nwisny.01.01603028,,,,Copper,,
87779,nwisny.01.01603028,,,,Lead,,
87784,nwisny.01.01603028,,,,Copper,,
87785,nwisny.01.01603028,,,,Lead,,
87848,nwisny.01.01700098,,,,Copper,,
87849,nwisny.01.01700098,,,,Lead,,
87854,nwisny.01.01700098,,,,Copper,,
87855,nwisny.01.01700098,,,,Lead,,
88054,nwisny.01.01600935,,,,Copper,,
88055,nwisny.01.01600935,,,,Lead,,
88060,nwisny.01.01600935,,,,Copper,,
88061,nwisny.01.01600935,,,,Lead,,
88113,nwisny.01.01601157,,,,Copper,,
88114,nwisny.01.01601157,,,,Lead,,
88119,nwisny.01.01601157,,,,Copper,,
88120,nwisny.01.01601157,,,,Lead,,
88176,nwisny.01.01601823,,,,Copper,,
88177,nwisny.01.01601823,,,,Lead,,
88190,nwisny.01.01601823,,,,Copper,,
88191,nwisny.01.01601823,,,,Lead,,
88284,nwisny.01.01602689,,,,Copper,,
88285,nwisny.01.01602689,,,,Lead,,
88290,nwisny.01.01602689,,,,Copper,,
88291,nwisny.01.01602689,,,,Lead,,
88395,nwisny.01.01603030,,,,Copper,,
88396,nwisny.01.01603030,,,,Lead,,
88401,nwisny.01.01603030,,,,Copper,,
88402,nwisny.01.01603030,,,,Lead,,
88466,nwisny.01.01700096,,,,Copper,,
88467,nwisny.01.01700096,,,,Lead,,
88472,nwisny.01.01700096,,,,Copper,,
